position,song,artist,genre,mood
3,un x100to,Grupo Frontera & Bad Bunny,Pop,Energetic
4,La Bebe - Remix,Yng Lvcas & Peso Pluma,Rap,Energetic
5,Cupid - Twin Ver.,FIFTY FIFTY,Reggaeton,Romantic
6,Flowers,Miley Cyrus,Pop,Romantic
7,Daylight,David Kushner,Pop,Romantic
8,Kill Bill,SZA,Soundtrack,Intense
9,As It Was,Harry Styles,Pop,Reflective
10,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,Pop,Mellow
11,TQG,KAROL G,Ballad,Energetic
12,Classy 101,Feid & Young Miko,Pop,Upbeat
13,AcrÃ³stico,Shakira,Pop,Energetic
14,El Azul,Junior H & Peso Pluma,Pop,Melancholic
15,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
16,See You Again (feat. Kali Uchis),Tyler The Creator,Banda,Nostalgic
17,Die For You (with Ariana Grande) - Remix,The Weeknd,Dream pop,Energetic
18,Calm Down (with Selena Gomez),Rema,Pop,Peaceful
19,TQM,Fuerza Regida,Reggaeton,Energetic
20,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Pop,Creepy
21,Say Yes To Heaven,Lana Del Rey,Pop,Ethereal
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Rap,Deceptive
23,BESO,ROSALÃA & Rauw Alejandro,Pop,Romantic
24,Tattoo,Loreen,Pop,Empowering
25,Yandel 150,Yandel,Pop,Energetic
26,Last Night,Morgan Wallen,Pop,Energetic
27,I Wanna Be Yours,Arctic Monkeys,Hip-hop,Romantic
28,Anti-Hero,Taylor Swift,Pop,Energetic
29,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Rock,Energetic
30,Angels Like You,Miley Cyrus,Pop,Melancholy
31,Die For You,The Weeknd,Alternative,Passionate
32,All My Life (feat. J. Cole),Lil Durk & J. Cole,Rap,Melancholic
33,Here With Me,d4vd,R&B,Melancholic
34,Cruel Summer,Taylor Swift,Latin,Energetic
35,I'm Good (Blue),David Guetta & Bebe Rexha,Pop,Sad
36,Starboy,The Weeknd,Bachata,Dark
37,golden hour,JVKE,Reggaeton,Euphoric
38,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
39,I Ain't Worried,OneRepublic,Pop,Confident
40,Another Love,Tom Odell,Hip-hop,Melancholic
41,Por las Noches,Peso Pluma,Latin,Sad
42,Moonlight,Kali Uchis,Pop,Dreamy
43,Like Crazy,Jimin,Pop,Passionate
44,People,Libianca,Pop,Energetic
45,FrÃ¡gil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Melancholic
46,El Gordo Trae El Mando,Chino Pacas,Country,Energetic
47,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Latin,Energetic
48,Yellow,Coldplay,Pop,Upbeat
49,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,R&B,Cheerful
50,La Bachata,Manuel Turizo,Indie,Romantic
1,WHERE SHE GOES,Bad Bunny,Country,Melancholic
2,Ella Baila Sola,Eslabon Armado,Pop,Happy
3,un x100to,Grupo Frontera & Bad Bunny,Pop,Energetic
4,Cupid - Twin Ver.,FIFTY FIFTY,Rap,Romantic
5,La Bebe - Remix,Yng Lvcas & Peso Pluma,Reggaeton,Energetic
6,Flowers,Miley Cyrus,Pop,Romantic
7,Daylight,David Kushner,Pop,Euphoric
8,Kill Bill,SZA,Pop,Intense
9,As It Was,Harry Styles,Soundtrack,Reflective
10,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,Pop,Melancholic
11,AcrÃ³stico,Shakira,R&B,Energetic
12,TQG,KAROL G,Pop,Energetic
13,Classy 101,Feid & Young Miko,Jazz,Elegant
14,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Nostalgic
15,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Regional,Sinister
16,BESO,ROSALÃA & Rauw Alejandro,Pop,Sensual
17,Calm Down (with Selena Gomez),Rema,Pop,Relaxed
18,TQM,Fuerza Regida,Pop,Energetic
19,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Passionate
20,Tattoo,Loreen,Hip-hop,Euphoric
21,Say Yes To Heaven,Lana Del Rey,R&B,Ethereal
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Dream-pop,Deceptive
23,I Wanna Be Yours,Arctic Monkeys,Pop,Romantic
24,Yandel 150,Yandel,Pop,Energetic
25,El Azul,Junior H & Peso Pluma,Pop,Serene
26,PRC,Peso Pluma & Natanael Cano,Reggaeton,Energetic
27,Last Night,Morgan Wallen,Pop,Energetic
28,Anti-Hero,Taylor Swift,Indie,Melancholic
29,All My Life (feat. J. Cole),Lil Durk & J. Cole,Alternative,Energetic
30,Die For You,The Weeknd,Rap,Sorrowful
31,Angels Like You,Miley Cyrus,Pop,Reflective
32,Cruel Summer,Taylor Swift,Pop,Energetic
33,I'm Good (Blue),David Guetta & Bebe Rexha,Hip-hop,Optimistic
34,Here With Me,d4vd,Pop,Melancholic
35,Starboy,The Weeknd,Pop,Dark
36,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Upbeat
37,Another Love,Tom Odell,Pop,Melancholic
38,People,Libianca,Country,Energetic
39,Moonlight,Kali Uchis,Pop,Dreamy
40,golden hour,JVKE,Hip-hop,Euphoric
41,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Ballad,Energetic
42,I Ain't Worried,OneRepublic,Pop,Confident
43,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),BeyoncÃ© & Kendrick Lamar,Pop,Intense
44,Por las Noches,Peso Pluma,Country,Melancholy
45,FrÃ¡gil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Vulnerable
46,Unholy (feat. Kim Petras),Sam Smith,Rock,Dark
47,Like Crazy,Jimin,Reggaeton,Passionate
48,Yellow,Coldplay,Reggaeton,Energetic
49,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Pop,Energetic
50,La Bachata,Manuel Turizo,Latin,Romantic
1,Ella Baila Sola,Eslabon Armado,Latin,Happy
2,WHERE SHE GOES,Bad Bunny,Pop,Nostalgic
3,un x100to,Grupo Frontera & Bad Bunny,Pop,Energetic
4,Cupid - Twin Ver.,FIFTY FIFTY,Hip-hop,Romantic
5,La Bebe - Remix,Yng Lvcas & Peso Pluma,Pop,Upbeat
6,Flowers,Miley Cyrus,Reggaeton,Energetic
7,Daylight,David Kushner,Pop,Hopeful
8,Kill Bill,SZA,Pop,Intense
9,As It Was,Harry Styles,Rock,Reflective
10,AcrÃ³stico,Shakira,Pop,Energetic
11,TQG,KAROL G,Pop,Energetic
12,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,Latin,Dreamy
13,Classy 101,Feid & Young Miko,Pop,Elegant
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Pop,Sinister
15,Calm Down (with Selena Gomez),Rema,Pop,Serene
16,BESO,ROSALÃA & Rauw Alejandro,R&B,Sensual
17,See You Again (feat. Kali Uchis),Tyler The Creator,Reggaeton,Melancholic
18,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Passionate
19,TQM,Fuerza Regida,Pop,Energetic
20,El Azul,Junior H & Peso Pluma,Pop,Melancholic
21,Yandel 150,Yandel,Pop,Energetic
22,Tattoo,Loreen,Dream-pop,Melancholic
23,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
24,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Indie,Deceitful
25,I Wanna Be Yours,Arctic Monkeys,Reggaeton,Romantic
26,All My Life (feat. J. Cole),Lil Durk & J. Cole,NorteÃ±o,Hopeful
27,Angels Like You,Miley Cyrus,Pop,Hopeful
28,Last Night,Morgan Wallen,Pop,Party
29,Anti-Hero,Taylor Swift,Rock,Defiant
30,Say Yes To Heaven,Lana Del Rey,Hip-hop,Dreamy
31,Die For You,The Weeknd,Pop,Devoted
32,Cruel Summer,Taylor Swift,Pop,Intense
33,I'm Good (Blue),David Guetta & Bebe Rexha,Pop,Confident
34,Here With Me,d4vd,Hip-hop,Melancholic
35,Bite Me,ENHYPEN,Pop,Aggressive
36,Another Love,Tom Odell,R&B,Melancholic
37,Moonlight,Kali Uchis,Pop,Dreamy
38,People,Libianca,Indie,Upbeat
39,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Pop,Hype
40,golden hour,JVKE,Pop,Euphoric
41,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
42,Starboy,The Weeknd,Rap,Dark
43,I Ain't Worried,OneRepublic,Rap,Confident
44,La Bachata,Manuel Turizo,Rap,Romantic
45,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),BeyoncÃ© & Kendrick Lamar,Pop,Serious
46,Unholy (feat. Kim Petras),Sam Smith,Pop,Dark
47,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Pop,Energetic
48,FrÃ¡gil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Melancholic
49,Yellow,Coldplay,Alternative,Energetic
50,Por las Noches,Peso Pluma,Reggaeton,Melancholic
1,Ella Baila Sola,Eslabon Armado,Latin,Happy
2,WHERE SHE GOES,Bad Bunny,Pop,Melancholic
3,un x100to,Grupo Frontera & Bad Bunny,Pop,Energetic
4,La Bebe - Remix,Yng Lvcas & Peso Pluma,Hip-hop,Energetic
5,Cupid - Twin Ver.,FIFTY FIFTY,Pop,Romantic
6,Flowers,Miley Cyrus,Reggaeton,Euphoric
7,Daylight,David Kushner,Pop,Reflective
8,Kill Bill,SZA,Pop,Intense
9,As It Was,Harry Styles,Soundtrack,Reflective
10,TQG,KAROL G,Pop,Energetic
11,Classy 101,Feid & Young Miko,Pop,Elegant
12,AcrÃ³stico,Shakira,Pop,Energetic
13,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,Alternative,Melancholic
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Pop,Sinister
15,BESO,ROSALÃA & Rauw Alejandro,R&B,Romantic
16,Calm Down (with Selena Gomez),Rema,Pop,Chill
17,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Intense
18,See You Again (feat. Kali Uchis),Tyler The Creator,R&B,Melancholic
19,TQM,Fuerza Regida,Pop,Energetic
20,Yandel 150,Yandel,Hip-hop,Energetic
21,El Azul,Junior H & Peso Pluma,Banda,Sad
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Reggaeton,Deceptive
23,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
24,Tattoo,Loreen,Pop,Empowering
25,I Wanna Be Yours,Arctic Monkeys,Pop,Romantic
26,Anti-Hero,Taylor Swift,Alternative,Defiant
27,Angels Like You,Miley Cyrus,Hip-hop,Inspiring
28,All My Life (feat. J. Cole),Lil Durk & J. Cole,Pop,Relaxed
29,Last Night,Morgan Wallen,Pop,Energetic
30,Die For You,The Weeknd,Rock,Intense
31,I'm Good (Blue),David Guetta & Bebe Rexha,Dream-pop,Positive
32,Cruel Summer,Taylor Swift,Pop,Energetic
33,Say Yes To Heaven,Lana Del Rey,Pop,Dreamy
34,Here With Me,d4vd,Pop,Melancholic
35,Another Love,Tom Odell,Pop,Melancholic
36,Starboy,The Weeknd,Pop,Dark
37,People,Libianca,Indie,Energetic
38,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Pop,Energetic
39,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
40,Moonlight,Kali Uchis,Hip-hop,Romantic
41,golden hour,JVKE,Pop,Euphoric
42,I Ain't Worried,OneRepublic,Pop,Confident
43,La Bachata,Manuel Turizo,Pop,Romantic
44,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Rap,Energetic
45,Unholy (feat. Kim Petras),Sam Smith,Latin,Dark
46,FrÃ¡gil,Yahritza Y Su Esencia & Grupo Frontera,Rap,Melancholic
47,Yellow,Coldplay,Pop,Happy
48,Por las Noches,Peso Pluma,Latin,Melancholic
49,Hey Mor,Ozuna,Pop,Energetic
50,Abcdario,Eden MuÃ±oz & Junior H,Pop,Energetic
1,Ella Baila Sola,Eslabon Armado,Pop,Joyful
2,WHERE SHE GOES,Bad Bunny,Pop,Melancholic
3,La Bebe - Remix,Yng Lvcas & Peso Pluma,Pop,Energetic
4,un x100to,Grupo Frontera & Bad Bunny,Hip-hop,Energetic
5,Cupid - Twin Ver.,FIFTY FIFTY,Reggaeton,Romantic
6,Flowers,Miley Cyrus,Pop,Dreamy
7,Daylight,David Kushner,Pop,Peaceful
8,Kill Bill,SZA,Pop,Intense
9,As It Was,Harry Styles,Soundtrack,Reflective
10,TQG,KAROL G,Pop,Energetic
11,Classy 101,Feid & Young Miko,Hip-hop,Elegant
12,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,Pop,Melancholic
13,AcrÃ³stico,Shakira,Pop,Melancholic
14,TQM,Fuerza Regida,Pop,Energetic
15,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Hip-hop,Dark
16,Calm Down (with Selena Gomez),Rema,Reggaeton,Relaxed
17,BESO,ROSALÃA & Rauw Alejandro,Pop,Romantic
18,Yandel 150,Yandel,Pop,Energetic
19,El Azul,Junior H & Peso Pluma,Pop,Nostalgic
20,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Nostalgic
21,Die For You (with Ariana Grande) - Remix,The Weeknd,Reggaeton,Passionate
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Regional,Deceptive
23,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
24,Anti-Hero,Taylor Swift,Pop,Angsty
25,Die For You,The Weeknd,Pop,Passionate
26,I Wanna Be Yours,Arctic Monkeys,Alternative,Romantic
27,Last Night,Morgan Wallen,Rock,Upbeat
28,All My Life (feat. J. Cole),Lil Durk & J. Cole,Pop,Introspective
29,Tattoo,Loreen,Rap,Passionate
30,Angels Like You,Miley Cyrus,Pop,Hopeful
31,I'm Good (Blue),David Guetta & Bebe Rexha,R&B,Positive
32,The Best,Tina Turner,Pop,Energetic
33,What's Love Got to Do with It - 2015 Remaster,Tina Turner,Pop,Empowering
34,Here With Me,d4vd,Dream-pop,Melancholic
35,Say Yes To Heaven,Lana Del Rey,Pop,Dreamy
36,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Indie,Energetic
37,People,Libianca,R&B,Energetic
38,Cruel Summer,Taylor Swift,Pop,Intense
39,Starboy,The Weeknd,Rap,Dark
40,Another Love,Tom Odell,Pop,Sad
41,golden hour,JVKE,Pop,Euphoric
42,Moonlight,Kali Uchis,Pop,Dreamy
43,Por las Noches,Peso Pluma,Hip-hop,Melancholy
44,I Ain't Worried,OneRepublic,Latin,Confident
45,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Reggaeton,Energetic
46,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
47,La Bachata,Manuel Turizo,Pop,Romantic
48,Unholy (feat. Kim Petras),Sam Smith,Pop,Dark
49,Hey Mor,Ozuna,Pop,Energetic
50,FrÃ¡gil,Yahritza Y Su Esencia & Grupo Frontera,Rock,Vulnerable
